monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20211003,20211010,57
0,0,0,0,0,1,1,20211003,20211009,42
0,0,0,0,0,1,1,20211003,20211010,38
0,0,0,0,0,1,1,20211009,20211010,41
0,0,0,0,1,0,1,20211003,20211008,79
0,0,0,0,1,0,1,20211003,20211010,26
0,0,0,0,1,0,1,20211008,20211010,45
0,0,0,0,1,1,0,20211008,20211009,35
0,0,0,0,1,1,1,20211003,20211010,84
0,0,0,0,1,1,1,20211008,20211010,50
0,0,0,1,0,0,1,20211003,20211007,27
0,0,0,1,0,0,1,20211007,20211010,12
0,0,0,1,0,1,1,20211003,20211010,31
0,0,0,1,1,0,0,20211007,20211008,58
0,0,0,1,1,0,1,20211003,20211008,8
0,0,0,1,1,1,1,20211007,20211010,13
0,0,1,1,0,0,0,20211006,20211007,55
0,0,1,1,0,0,1,20211003,20211007,43
0,0,1,1,1,0,0,20211006,20211008,59
0,0,1,1,1,0,1,20211003,20211008,62
0,0,1,1,1,0,1,20211006,20211010,64
0,0,1,1,1,1,0,20211006,20211009,9
0,0,1,1,1,1,1,20211006,20211010,10
0,1,0,0,0,1,0,20211005,20211009,83
0,1,0,1,0,0,0,20211005,20211007,77
0,1,1,0,0,0,0,20211005,20211006,80
0,1,1,1,0,0,0,20211005,20211007,74
0,1,1,1,0,0,1,20211003,20211007,22
0,1,1,1,0,1,0,20211005,20211009,76
0,1,1,1,1,0,0,20211005,20211008,69
0,1,1,1,1,0,1,20211003,20211008,51
0,1,1,1,1,1,0,20211005,20211009,82
0,1,1,1,1,1,1,20211003,20211010,70
0,1,1,1,1,1,1,20211005,20211010,1
1,0,0,0,0,0,1,20211003,20211004,68
1,0,0,0,0,1,0,20211004,20211009,52
1,0,0,0,1,0,0,20211004,20211008,14
1,0,0,0,1,0,1,20211003,20211008,7
1,0,0,0,1,1,1,20211003,20211010,21
1,0,0,1,1,0,0,20211004,20211008,18
1,0,1,0,0,0,0,20211004,20211006,25
1,0,1,1,0,0,0,20211004,20211007,29
1,0,1,1,0,0,1,20211003,20211007,85
1,0,1,1,0,0,1,20211003,20211010,15
1,0,1,1,0,1,1,20211003,20211010,30
1,0,1,1,1,0,0,20211004,20211008,5
1,1,0,0,0,0,0,20211004,20211005,3
1,1,0,0,0,0,1,20211003,20211005,78
1,1,0,0,0,0,1,20211003,20211010,28
1,1,0,0,0,0,1,20211004,20211010,19
1,1,0,0,0,1,0,20211004,20211009,16
1,1,0,0,0,1,1,20211003,20211010,20
1,1,0,0,0,1,1,20211004,20211010,73
1,1,0,0,1,1,1,20211004,20211010,11
1,1,0,1,0,0,0,20211004,20211007,75
1,1,0,1,0,0,1,20211003,20211007,72
1,1,0,1,1,0,0,20211004,20211008,53
1,1,0,1,1,0,1,20211003,20211008,33
1,1,1,0,0,0,0,20211004,20211006,37
1,1,1,0,0,0,1,20211003,20211006,4
1,1,1,0,0,1,0,20211004,20211009,23
1,1,1,0,1,0,1,20211003,20211008,81
1,1,1,1,0,0,0,20211004,20211007,48
1,1,1,1,0,0,1,20211003,20211007,61
1,1,1,1,0,0,1,20211003,20211010,60
1,1,1,1,0,0,1,20211004,20211010,24
1,1,1,1,0,1,0,20211004,20211009,2
1,1,1,1,0,1,1,20211003,20211010,6
1,1,1,1,0,1,1,20211004,20211010,17
1,1,1,1,1,0,0,20211004,20211008,47
1,1,1,1,1,0,1,20211003,20211008,56
1,1,1,1,1,0,1,20211003,20211010,44
1,1,1,1,1,0,1,20211004,20211010,49
1,1,1,1,1,1,0,20211004,20211009,40
1,1,1,1,1,1,1,20211003,20211009,66
1,1,1,1,1,1,1,20211003,20211010,32
1,1,1,1,1,1,1,20211004,20211010,65
