trip_id,stop_id,arrival_time,departure_time,stop_sequence
1011,1082,18:02:00,18:02:00,0
1011,250,18:18:00,18:22:00,1
1011,966,19:26:00,19:26:00,2
1011,522,19:36:00,19:36:00,3
1091,507,16:53:00,16:53:00,0
1091,421,17:06:00,17:07:00,1
1091,818,17:23:00,17:23:00,2
1091,1261,17:30:00,17:39:00,3
1091,45,17:50:00,17:51:00,4
1091,1218,18:11:00,18:12:00,5
1091,380,18:32:00,18:35:00,6
1091,1010,19:26:00,19:28:00,7
1091,300,19:43:00,19:44:00,8
1091,788,20:06:00,20:25:00,9
1091,1027,20:27:00,20:27:00,10
1249,1082,12:00:00,12:00:00,0
1249,250,12:16:00,12:18:00,1
1249,966,13:21:00,13:26:00,2
1249,554,16:19:00,16:21:00,3
1249,760,16:52:00,16:59:00,4
1249,153,17:06:00,17:06:00,5
1249,847,17:11:00,17:13:00,6
1249,541,17:50:00,17:57:00,7
1249,627,18:49:00,18:52:00,8
1249,1173,19:17:00,19:17:00,9
1330,269,07:40:00,07:40:00,0
1330,518,08:05:00,08:06:00,1
1330,846,08:18:00,08:19:00,2
1330,1051,08:28:00,08:29:00,3
1330,511,08:30:00,08:30:00,4
1330,1173,08:40:00,08:40:00,5
1742,522,06:26:00,06:26:00,0
1742,966,06:34:00,06:35:00,1
1742,250,07:37:00,07:39:00,2
1742,1082,07:54:00,07:54:00,3
188,1082,20:02:00,20:02:00,0
188,250,20:18:00,20:22:00,1
188,966,21:26:00,21:26:00,2
188,522,21:36:00,21:36:00,3
1972,522,12:26:00,12:26:00,0
1972,966,12:34:00,12:35:00,1
1972,250,13:37:00,13:39:00,2
1972,1082,13:54:00,13:54:00,3
2014,1027,07:27:00,07:27:00,0
2014,788,07:29:00,07:45:00,1
2014,300,08:08:00,08:09:00,2
2014,1010,08:23:00,08:25:00,3
2014,380,09:16:00,09:22:00,4
2014,1218,09:42:00,09:43:00,5
2014,45,10:02:00,10:03:00,6
2014,1261,10:14:00,10:21:00,7
2014,818,10:29:00,10:29:00,8
2014,421,10:45:00,10:46:00,9
2014,1248,10:58:00,10:58:00,10
2066,1082,14:02:00,14:02:00,0
2066,250,14:18:00,14:22:00,1
