stop_id,stop_name,stop_lat,stop_lon
1187,'s-Hertogenbosch,51.69054,5.293723
63,'s-Hertogenbosch,51.69054,5.293723
879,'s-Hertogenbosch,51.69054,5.293723
1056,Aachen Hbf,50.7678,6.091499
1149,Aachen Hbf,50.7678,6.091499
945,Aachen Hbf,50.7678,6.091499
909,Aachen Süd(Gr),50.731915,6.04541
1305,Aalen Hbf,48.841015,10.096271
210,Aalen Hbf,48.841015,10.096271
1044,Aarhus,56.150074,10.204997
1318,Aarhus,56.150074,10.204997
329,Alfeld(Leine),51.98142,9.817779
796,Alfeld(Leine),51.98142,9.817779
280,Almelo,52.357285,6.654811
449,Almelo,52.357285,6.654811
137,Altenbeken,51.766434,8.943319
196,Altenbeken,51.766434,8.943319
1250,Amersfoort Centraal,52.153465,5.373909
359,Amersfoort Centraal,52.153465,5.373909
412,Amersfoort Centraal,52.153465,5.373909
462,Amersfoort Centraal,52.153465,5.373909
1162,Amsterdam Centraal,52.37919,4.899431
1197,Amsterdam Centraal,52.37919,4.899431
1259,Amsterdam Centraal,52.37919,4.899431
1271,Amsterdam Centraal,52.37919,4.899431
375,Amsterdam Centraal,52.37919,4.899431
444,Amsterdam Centraal,52.37919,4.899431
611,Amsterdam Centraal,52.37919,4.899431
68,Amsterdam Centraal,52.37919,4.899431
848,Amsterdam Centraal,52.37919,4.899431
860,Amsterdam Centraal,52.37919,4.899431
869,Amsterdam Centraal,52.37919,4.899431
894,Amsterdam Centraal,52.37919,4.899431
1372,Amstetten NÖ,48.121605,14.878112
845,Amstetten NÖ,48.121605,14.878112
1123,Andernach,50.434544,7.404839
134,Andernach,50.434544,7.404839
864,Andernach,50.434544,7.404839
1326,Angermünde,53.01522,13.996361
62,Angermünde,53.01522,13.996361
1164,Anklam,53.856102,13.701827
165,Anklam,53.856102,13.701827
1169,Ansbach,49.29803,10.578239
408,Ansbach,49.29803,10.578239
445,Ansbach,49.29803,10.578239
759,Ansbach,49.29803,10.578239
923,Ansbach,49.29803,10.578239
1090,Apeldoorn,52.20943,5.967491
913,Apeldoorn,52.20943,5.967491
958,Apeldoorn,52.20943,5.967491
189,Apolda,51.03094,11.526136
199,Apolda,51.03094,11.526136
431,Arnhem Centraal,51.98478,5.901003
644,Arnhem Centraal,51.98478,5.901003
652,Arnhem Centraal,51.98478,5.901003
780,Arnhem Centraal,51.98478,5.901003
1006,Arth-Goldau,47.049046,8.549446
684,Arth-Goldau,47.049046,8.549446
1170,Aschaffenburg Hbf,49.980556,9.143697
