from_stop_id,to_stop_id,transfer_type,min_transfer_time
1187,63,2,0.0
63,1187,2,0.0
1187,879,2,0.0
879,1187,2,0.0
63,879,2,0.0
879,63,2,0.0
1056,1149,2,0.0
1149,1056,2,0.0
1056,945,2,0.0
945,1056,2,0.0
1149,945,2,0.0
945,1149,2,0.0
1305,210,2,0.0
210,1305,2,0.0
1044,1318,2,0.0
1318,1044,2,0.0
329,796,2,0.0
796,329,2,0.0
280,449,2,0.0
449,280,2,0.0
137,196,2,0.0
196,137,2,0.0
1250,359,2,0.0
359,1250,2,0.0
1250,412,2,0.0
412,1250,2,0.0
1250,462,2,0.0
462,1250,2,0.0
359,412,2,0.0
412,359,2,0.0
359,462,2,0.0
462,359,2,0.0
412,462,2,0.0
462,412,2,0.0
1162,1197,2,0.0
1197,1162,2,0.0
1162,1259,2,0.0
1259,1162,2,0.0
1162,1271,2,0.0
1271,1162,2,0.0
1162,375,2,0.0
375,1162,2,0.0
1162,444,2,0.0
444,1162,2,0.0
1162,611,2,0.0
611,1162,2,0.0
1162,68,2,0.0
68,1162,2,0.0
1162,848,2,0.0
848,1162,2,0.0
1162,860,2,0.0
860,1162,2,0.0
1162,869,2,0.0
869,1162,2,0.0
1162,894,2,0.0
894,1162,2,0.0
1197,1259,2,0.0
1259,1197,2,0.0
1197,1271,2,0.0
1271,1197,2,0.0
1197,375,2,0.0
375,1197,2,0.0
1197,444,2,0.0
444,1197,2,0.0
1197,611,2,0.0
611,1197,2,0.0
1197,68,2,0.0
68,1197,2,0.0
1197,848,2,0.0
848,1197,2,0.0
1197,860,2,0.0
860,1197,2,0.0
1197,869,2,0.0
869,1197,2,0.0
1197,894,2,0.0
894,1197,2,0.0
1259,1271,2,0.0
1271,1259,2,0.0
1259,375,2,0.0
375,1259,2,0.0
1259,444,2,0.0
444,1259,2,0.0
1259,611,2,0.0
611,1259,2,0.0
1259,68,2,0.0
68,1259,2,0.0
1259,848,2,0.0
848,1259,2,0.0
1259,860,2,0.0
860,1259,2,0.0
1259,869,2,0.0
869,1259,2,0.0
1259,894,2,0.0
894,1259,2,0.0
1271,375,2,0.0
375,1271,2,0.0
1271,444,2,0.0
444,1271,2,0.0
1271,611,2,0.0
611,1271,2,0.0
1271,68,2,0.0
68,1271,2,0.0
1271,848,2,0.0
848,1271,2,0.0
1271,860,2,0.0
860,1271,2,0.0
1271,869,2,0.0
869,1271,2,0.0
1271,894,2,0.0
894,1271,2,0.0
375,444,2,0.0
444,375,2,0.0
375,611,2,0.0
611,375,2,0.0
375,68,2,0.0
68,375,2,0.0
375,848,2,0.0
848,375,2,0.0
375,860,2,0.0
860,375,2,0.0
375,869,2,0.0
869,375,2,0.0
375,894,2,0.0
894,375,2,0.0
444,611,2,0.0
611,444,2,0.0
444,68,2,0.0
68,444,2,0.0
444,848,2,0.0
848,444,2,0.0
444,860,2,0.0
860,444,2,0.0
444,869,2,0.0
869,444,2,0.0
444,894,2,0.0
894,444,2,0.0
611,68,2,0.0
68,611,2,0.0
611,848,2,0.0
848,611,2,0.0
611,860,2,0.0
860,611,2,0.0
611,869,2,0.0
869,611,2,0.0
611,894,2,0.0
894,611,2,0.0
68,848,2,0.0
848,68,2,0.0
68,860,2,0.0
860,68,2,0.0
