from_stop_id,to_stop_id,transfer_type,min_transfer_time
51501,51502,2,47
51502,51501,2,47
51601,51602,2,45
51602,51601,2,45
69501,69502,2,13
69502,69501,2,13
69501,69522,2,13
69522,69501,2,13
69502,69521,2,13
69521,69502,2,13
69521,69522,2,13
69522,69521,2,13
69701,69702,2,13
69702,69701,2,13
69601,69641,2,6
69641,69601,2,6
113221,113222,2,68
113222,113221,2,68
113301,113302,2,54
113302,113301,2,54
113521,113522,2,48
113522,113521,2,48
113601,113602,2,51
113602,113601,2,51
113601,113603,2,46
113603,113601,2,46
113602,113603,2,95
113603,113602,2,95
114121,114122,2,18
114122,114121,2,18
114321,114322,2,40
114322,114321,2,40
114421,114422,2,50
114422,114421,2,50
114421,114424,2,106
114424,114421,2,106
114421,114425,2,50
114425,114421,2,50
114422,114423,2,50
114423,114422,2,50
114422,114424,2,66
114424,114422,2,66
114423,114424,2,106
114424,114423,2,106
114423,114425,2,50
114425,114423,2,50
114424,114425,2,66
114425,114424,2,66
114601,114602,2,37
114602,114601,2,37
114901,114922,2,104
114922,114901,2,104
114921,114922,2,104
114922,114921,2,104
115021,115022,2,23
115022,115021,2,23
115121,115122,2,15
115122,115121,2,15
116004,116011,2,171
116011,116004,2,171
116004,116012,2,89
116012,116004,2,89
116004,116013,2,171
116013,116004,2,171
116004,116015,2,171
116015,116004,2,171
116004,116021,2,43
116021,116004,2,43
116004,116022,2,3
116022,116004,2,3
116004,116023,2,44
116023,116004,2,44
116011,116012,2,90
116012,116011,2,90
116011,116021,2,130
116021,116011,2,130
116011,116022,2,168
116022,116011,2,168
116011,116023,2,128
116023,116011,2,128
116012,116013,2,90
116013,116012,2,90
116012,116015,2,90
116015,116012,2,90
116012,116021,2,45
116021,116012,2,45
116012,116022,2,86
116022,116012,2,86
116012,116023,2,45
116023,116012,2,45
116013,116021,2,130
116021,116013,2,130
116013,116022,2,168
116022,116013,2,168
116013,116023,2,128
116023,116013,2,128
116015,116021,2,130
116021,116015,2,130
116015,116022,2,168
116022,116015,2,168
116015,116023,2,128
116023,116015,2,128
116021,116022,2,40
116022,116021,2,40
116021,116023,2,4
116023,116021,2,4
116022,116023,2,41
116023,116022,2,41
116821,116822,2,69
116822,116821,2,69
118521,118522,2,10
118522,118521,2,10
118721,118722,2,29
118722,118721,2,29
118921,118922,2,23
118922,118921,2,23
119321,119322,2,57
119322,119321,2,57
119402,119421,2,58
119421,119402,2,58
119621,119622,2,22
119622,119621,2,22
119921,119922,2,18
119922,119921,2,18
120001,120002,2,29
120002,120001,2,29
121601,121602,2,17
121602,121601,2,17
121801,121802,2,33
121802,121801,2,33
121901,121902,2,85
121902,121901,2,85
122521,122522,2,44
122522,122521,2,44
122601,122622,2,45
122622,122601,2,45
122801,122802,2,127
122802,122801,2,127
122901,122902,2,31
122902,122901,2,31
123321,123322,2,41
123322,123321,2,41
125201,125202,2,22
125202,125201,2,22
125601,125602,2,34
125602,125601,2,34
126021,126022,2,41
126022,126021,2,41
126101,126102,2,22
126102,126101,2,22
126101,126103,2,22
126103,126101,2,22
126321,126322,2,33
126322,126321,2,33
126721,126722,2,29
126722,126721,2,29
127321,127322,2,92
127322,127321,2,92
127401,127402,2,51
127402,127401,2,51
127621,127622,2,27
127622,127621,2,27
127801,127802,2,23
127802,127801,2,23
133301,133302,2,46
133302,133301,2,46
145721,145722,2,28
145722,145721,2,28
188201,188202,2,31
188202,188201,2,31
188601,188602,2,30
188602,188601,2,30
189001,189002,2,23
189002,189001,2,23
348201,348202,2,54
348202,348201,2,54
427201,427202,2,28
427202,427201,2,28
427401,427402,2,33
427402,427401,2,33
427401,427403,2,63
427403,427401,2,63
427401,427404,2,72
427404,427401,2,72
427402,427403,2,42
427403,427402,2,42
427402,427404,2,60
427404,427402,2,60
427403,427404,2,22
427404,427403,2,22
427501,427502,2,27
427502,427501,2,27
574201,574202,2,55
574202,574201,2,55
679101,679102,2,96
679102,679101,2,96
679421,679422,2,31
679422,679421,2,31
679501,679502,2,25
679502,679501,2,25
