route_id,route_short_name,route_type,route_url,agency_id,route_desc,route_color,route_text_color,"route_long_name"
570-2-570,570,3,,19,,9D9D9C,000000,"Hoher Weg - Rheingönheim Bahnhof"
9-444-E,E,0,,19,Bad Dürkheim - Heidelberg,9C9C9C,000000,"(RNV-Express Heidelberg – Edingen – Mannheim -) MA Neuostheim – MA Hauptbahnhof – Ludwigshafen – Bad Dürkheim"
570-4-570,570,3,,19,,9D9D9C,000000,"Hoher Weg - Rheingönheim"
570-6-570,570,3,,19,,9D9D9C,000000,"Hoher Weg - Valentin-Bauer-Siedlung"
570-5-570,570,3,,19,,9D9D9C,000000,"Valentin-Bauer-Siedlung - Hoher Weg"
570-3-570,570,3,,19,,9D9D9C,000000,"Rheingönheim - Hoher Weg"
570-8-570,570,3,,19,,9D9D9C,000000,"Giulini - Jägerstraße"
571-6-571,571,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - BASF Süd"
571-4-571,571,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - Jägerstraße"
571-2-571,571,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - Arbeitsamt"
571-1-571,571,3,,19,,9D9D9C,000000,"Arbeitsamt - Mutterstadt Friedhof"
571-8-571,571,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - null"
571-10-571,571,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - Arbeitsamt"
571-5-571,571,3,,19,,9D9D9C,000000,"Bürgermeister-Krafft-Platz - Mutterstadt Friedhof"
571-9-571,571,3,,19,,9D9D9C,000000,"BASF Süd - Mutterstadt Friedhof"
571-3-571,571,3,,19,,9D9D9C,000000,"Valentin-Bauer-Siedlung - Mutterstadt Friedhof"
571-7-571,571,3,,19,,9D9D9C,000000,"Valentin-Bauer-Siedlung - Mutterstadt Friedhof"
571-11-571,571,3,,19,,9D9D9C,000000,"null - Assenheim Bundesstraße"
581-3-581,581,3,,19,,9D9D9C,000000,"Berliner Platz - Mutterstadt Friedhof"
581-4-581,581,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - Berliner Platz"
581-2-581,581,3,,19,,9D9D9C,000000,"Mutterstadt Friedhof - Arbeitsamt"
581-1-581,581,3,,19,,9D9D9C,000000,"Arbeitsamt - Mutterstadt Friedhof"
585-2-585,585,3,,19,,9D9D9C,000000,"Giulini - Valentin-Bauer-Siedlung"
585-1-585,585,3,,19,,9D9D9C,000000,"Valentin-Bauer-Siedlung - Neuhöfer Straße"
587-1-587,587,3,,19,,9D9D9C,000000,"Wasserwerk - Wasserwerk"
1-14-1,1,0,,19,Rheinau - Schönau,F39B9B,000000,"MA Rheinau Bf - Neckarau - MA Hbf - Paradeplatz - Waldhof - MA Schönau"
1-801-1,1,0,,19,Rheinau - Schönau,F39B9B,000000,"MA Rheinau Bf - Neckarau - MA Hbf - Paradeplatz - Waldhof - MA Schönau"
1-803-1,1,0,,19,Rheinau - Schönau,F39B9B,000000,"MA Rheinau Bf - Neckarau - MA Hbf - Paradeplatz - Waldhof - MA Schönau"
1-15-1,1,0,,19,Rheinau - Schönau,F39B9B,000000,"MA Rheinau Bf - Neckarau - MA Hbf - Paradeplatz - Waldhof - MA Schönau"
2-441-E,E,0,,19,Feudenheim - Neckarstadt West,9C9C9C,000000,"MA Feudenheim - Universitätsklinikum - Wasserturm - Paradeplatz - Rheinstraße - Alte Feuerwache - MA Neckarstadt West"
