from_stop_id,to_stop_id,transfer_type,min_transfer_time
188911,188602,2,160
188911,188601,2,198
188602,188911,2,160
188602,188601,2,39
188601,188911,2,198
188601,188602,2,39
188202,188201,2,41
188201,188202,2,41
189002,189001,2,31
189001,189002,2,31
112711,112712,2,63
112712,112711,2,63
112712,112912,2,192
112912,112712,2,192
112912,112911,2,41
112912,113412,2,159
112911,112912,2,41
112911,113412,2,137
112911,133212,2,174
112911,133211,2,179
113412,112912,2,159
113412,112911,2,137
113412,133211,2,203
133212,112911,2,174
133212,133211,2,8
133211,112911,2,179
133211,113412,2,203
133211,133212,2,8
133211,112811,2,202
133211,112812,2,195
112811,133211,2,202
112811,112812,2,10
112812,133211,2,195
112812,112811,2,10
127011,127012,2,51
127011,127811,2,173
127011,127802,2,167
127011,127842,2,198
127011,127801,2,183
127011,127812,2,183
127012,127011,2,51
127012,127811,2,135
127012,127802,2,126
127012,127842,2,155
127012,127801,2,138
127012,127812,2,138
127811,127011,2,173
127811,127012,2,135
127811,127802,2,15
127811,127842,2,36
127811,127801,2,42
127811,127812,2,42
127802,127011,2,167
127802,127012,2,126
127802,127811,2,15
127802,127842,2,33
127802,127801,2,30
127802,127812,2,30
127842,127011,2,198
127842,127012,2,155
127842,127811,2,36
127842,127802,2,33
127842,127801,2,22
127842,127812,2,22
127801,127011,2,183
127801,127012,2,138
127801,127811,2,42
127801,127802,2,30
127801,127842,2,22
127801,127812,2,0
127812,127011,2,183
127812,127012,2,138
127812,127811,2,42
127812,127802,2,30
127812,127842,2,22
127812,127801,2,0
113112,113111,2,30
113111,113112,2,30
126912,126412,2,190
126412,126912,2,190
113012,113014,2,0
113012,113013,2,77
113012,113011,2,56
113012,112211,2,166
113014,113012,2,0
113014,113013,2,77
113014,113011,2,56
113014,112211,2,166
113013,113012,2,77
113013,113014,2,77
113013,113011,2,90
113013,112211,2,118
113011,113012,2,56
113011,113014,2,56
113011,113013,2,90
113011,112211,2,131
112211,113012,2,166
112211,113014,2,166
112211,113013,2,118
112211,113011,2,131
112011,112012,2,17
112011,112612,2,192
112012,112011,2,17
112012,112612,2,175
112012,112611,2,190
112511,112612,2,196
112511,112611,2,196
112612,112011,2,192
112612,112012,2,175
112612,112511,2,196
112612,112611,2,20
112612,112412,2,140
112612,112414,2,147
112611,112012,2,190
112611,112511,2,196
112611,112612,2,20
112611,112412,2,124
112611,112414,2,130
112611,112411,2,192
126722,126721,2,38
126722,126712,2,127
126722,126711,2,143
127512,127212,2,158
127512,127211,2,185
127512,127511,2,64
126721,126722,2,38
126721,126712,2,119
126721,126711,2,132
127212,127512,2,158
127212,127211,2,26
127211,127512,2,185
127211,127212,2,26
126712,126722,2,127
126712,126721,2,119
126712,126711,2,18
127511,127512,2,64
112412,112612,2,140
112412,112611,2,124
112412,112414,2,8
112412,112411,2,68
126711,126722,2,143
126711,126721,2,132
126711,126712,2,18
112414,112612,2,147
112414,112611,2,130
112414,112412,2,8
112414,112411,2,62
112411,112611,2,192
112411,112412,2,68
112411,112414,2,62
154012,126511,2,170
127402,127401,2,68
127402,127412,2,170
127401,127402,2,68
127401,127412,2,104
126511,154012,2,170
126511,126512,2,97
121914,121902,2,30
121914,121913,2,65
121914,121917,2,136
121914,121918,2,114
121914,121916,2,100
121914,121901,2,143
121902,121914,2,30
121902,121913,2,34
121902,121917,2,106
121902,121918,2,83
121902,121916,2,69
121902,121901,2,113
121512,121511,2,25
121511,121512,2,25
121511,121917,2,186
121511,121901,2,198
121511,121602,2,195
121913,121914,2,65
121913,121902,2,34
121913,121917,2,72
121913,121918,2,49
121913,121916,2,35
121913,121901,2,79
121917,121914,2,136
121917,121902,2,106
121917,121511,2,186
121917,121913,2,72
121917,121918,2,24
121917,121916,2,44
121917,121901,2,34
121918,121914,2,114
121918,121902,2,83
121918,121913,2,49
121918,121917,2,24
121918,121916,2,20
121918,121901,2,35
121916,121914,2,100
121916,121902,2,69
121916,121913,2,35
121916,121917,2,44
121916,121918,2,20
121916,121901,2,43
121901,121914,2,143
121901,121902,2,113
121901,121511,2,198
121901,121913,2,79
121901,121917,2,34
121901,121918,2,35
121901,121916,2,43
127412,127402,2,170
127412,127401,2,104
126512,126511,2,97
126512,614212,2,149
126512,120311,2,188
126512,120312,2,183
120811,120812,2,18
120812,120811,2,18
120812,120311,2,197
614212,126512,2,149
120112,120111,2,31
120311,126512,2,188
120311,120812,2,197
120311,120312,2,6
120312,126512,2,183
120312,120311,2,6
120111,120112,2,31
121602,121511,2,195
121602,121601,2,23
121601,121602,2,23
614111,614112,2,8
614112,614111,2,8
115312,115311,2,4
115311,115312,2,4
127622,127612,2,55
127622,127611,2,44
127622,127621,2,36
127612,127622,2,55
127612,127611,2,14
127612,127621,2,84
127611,127622,2,44
127611,127612,2,14
127611,127621,2,71
127621,127622,2,36
127621,127612,2,84
127621,127611,2,71
121311,121312,2,20
121312,121311,2,20
614011,614012,2,7
614012,614011,2,7
198112,198111,2,63
120002,120001,2,38
120002,120012,2,140
198111,198112,2,63
120001,120002,2,38
120001,120012,2,105
126322,126321,2,44
336812,695912,2,186
126321,126322,2,44
695911,695914,2,0
695911,695912,2,65
695914,695911,2,0
695914,695912,2,65
120012,120002,2,140
120012,120001,2,105
120012,121811,2,147
298812,298911,2,112
695912,336812,2,186
695912,695911,2,65
695912,695914,2,65
121111,121112,2,31
121112,121111,2,31
118212,118211,2,9
118211,118212,2,9
298911,298812,2,112
121811,120012,2,147
121811,121802,2,120
121811,121812,2,144
121811,121801,2,165
127742,127711,2,93
127322,127321,2,122
127711,127742,2,93
121802,121811,2,120
121802,121812,2,26
121802,121801,2,44
121812,121811,2,144
121812,121802,2,26
121812,121801,2,28
121801,121811,2,165
121801,121802,2,44
121801,121812,2,28
304112,304111,2,16
304111,304112,2,16
127321,127322,2,122
114012,114011,2,33
299311,299312,2,45
114011,114012,2,33
299312,299311,2,45
116712,116711,2,26
116711,116712,2,26
116711,114511,2,183
116912,116911,2,26
116911,116912,2,26
118522,118521,2,13
114511,116711,2,183
114511,114512,2,31
117712,117711,2,16
121012,121011,2,12
117711,117712,2,16
118521,118522,2,13
121011,121012,2,12
114512,114511,2,31
679502,679501,2,34
679502,679512,2,48
679502,679511,2,118
679501,679502,2,34
679501,679512,2,19
679501,679511,2,84
679512,679502,2,48
679512,679501,2,19
679512,679511,2,75
300312,300311,2,67
120911,120912,2,63
679511,679502,2,118
679511,679501,2,84
679511,679512,2,75
120912,120911,2,63
114322,114321,2,53
300311,300312,2,67
300311,298512,2,194
300311,299811,2,188
114321,114322,2,53
299912,299911,2,29
299911,299912,2,29
299712,299711,2,26
299711,299712,2,26
298512,300311,2,194
298512,299811,2,120
115511,115512,2,10
115512,115511,2,10
299811,300311,2,188
299811,298512,2,120
119112,119111,2,9
119111,119112,2,9
119111,713511,2,201
119111,713512,2,201
298612,298611,2,11
298611,298612,2,11
301412,301411,2,87
301411,301412,2,87
299511,299512,2,17
299512,299511,2,17
114121,114122,2,24
713511,119111,2,201
713511,713512,2,0
713512,119111,2,201
713512,713511,2,0
114122,114121,2,24
124912,124712,2,181
114922,114912,2,47
114922,114901,2,138
114922,114911,2,138
118611,118612,2,15
118611,145511,2,181
118611,145512,2,196
114912,114922,2,47
114912,114901,2,163
114912,114911,2,163
118612,118611,2,15
118612,145511,2,170
118612,145512,2,185
145511,118611,2,181
145511,118612,2,170
145511,145512,2,14
114901,114922,2,138
114901,114912,2,163
114901,114911,2,0
114911,114922,2,138
114911,114912,2,163
114911,114901,2,0
145512,118611,2,196
145512,118612,2,185
145512,145511,2,14
124712,124912,2,181
145722,145721,2,38
145721,145722,2,38
556411,556412,2,0
556412,556411,2,0
425612,425611,2,18
425611,425612,2,18
425611,427211,2,193
119541,119511,2,101
119541,119512,2,101
119541,119513,2,101
119541,119542,2,163
113812,113811,2,34
113811,113812,2,34
113811,116311,2,194
679422,679442,2,0
679422,679421,2,41
679442,679422,2,0
679442,679421,2,41
119511,119541,2,101
119511,119512,2,0
119511,119513,2,0
119511,119542,2,75
119512,119541,2,101
119512,119511,2,0
119512,119513,2,0
119512,119542,2,75
119513,119541,2,101
119513,119511,2,0
119513,119512,2,0
119513,119542,2,75
679421,679422,2,41
679421,679442,2,41
69521,69502,2,17
69521,707811,2,127
69502,69521,2,17
69502,707811,2,140
427211,425611,2,193
427211,427212,2,32
427211,427202,2,157
427211,427201,2,149
119542,119541,2,163
119542,119511,2,75
119542,119512,2,75
119542,119513,2,75
119542,117111,2,165
126113,126101,2,107
126113,126111,2,107
126113,126102,2,132
126113,126103,2,132
126113,126112,2,197
126113,125512,2,129
126113,125511,2,146
427212,427211,2,32
427212,427202,2,136
427212,427201,2,123
707811,69521,2,127
707811,69502,2,140
115022,115021,2,30
69701,69702,2,17
69702,69701,2,17
427202,427211,2,157
427202,427212,2,136
427202,427201,2,37
115021,115022,2,30
116311,113811,2,194
116311,116312,2,75
427201,427211,2,149
427201,427212,2,123
427201,427202,2,37
695712,125641,2,82
695712,125602,2,154
695712,125612,2,161
695712,125601,2,180
695712,125642,2,190
126101,126113,2,107
126101,126111,2,17
126101,126102,2,30
126101,126103,2,30
126101,126112,2,107
126101,125512,2,95
126101,125511,2,97
126111,126113,2,107
126111,126101,2,17
126111,126102,2,43
126111,126103,2,43
126111,126112,2,121
126111,125512,2,78
126111,125511,2,80
126102,126113,2,132
126102,126101,2,30
126102,126111,2,43
126102,126103,2,0
126102,126112,2,77
126102,125512,2,119
126102,125511,2,118
126103,126113,2,132
126103,126101,2,30
126103,126111,2,43
126103,126102,2,0
126103,126112,2,77
126103,125512,2,119
126103,125511,2,118
126112,126113,2,197
126112,126101,2,107
126112,126111,2,121
126112,126102,2,77
126112,126103,2,77
126112,125512,2,194
126112,125511,2,189
125512,126113,2,129
125512,126101,2,95
125512,126111,2,78
125512,126102,2,119
125512,126103,2,119
125512,126112,2,194
125512,125511,2,19
116312,116311,2,75
125511,126113,2,146
125511,126101,2,97
125511,126111,2,80
125511,126102,2,118
125511,126103,2,118
125511,126112,2,189
125511,125512,2,19
117111,119542,2,165
125641,695712,2,82
125641,125602,2,71
125641,125612,2,78
125641,125601,2,102
125641,125642,2,117
679102,679101,2,128
427404,427403,2,29
427404,427402,2,80
427404,427401,2,95
427403,427404,2,29
427403,427402,2,56
427403,427401,2,83
125602,695712,2,154
125602,125641,2,71
125602,125612,2,13
125602,125601,2,45
125602,125642,2,68
125612,695712,2,161
125612,125641,2,78
