route_long_name,route_short_name,agency_id,route_type,route_id
1,1,13,2,262
1,1,14,2,139
1,1,5,2,322
1,RE,5,2,319
10,10,5,2,244
10a,10a,5,2,283
10b,10b,5,2,232
11,RB,5,2,342
11,RE,5,2,325
12,12,5,2,280
13,13,5,2,87
140,140,5,2,181
145,145,5,2,347
14A,14A,5,2,179
14B,14B,5,2,265
16,RE,5,2,333
18,RE,5,2,298
19,RE,5,2,226
2,2,13,2,276
2,2,14,2,53
20,20,9,2,326
20,RE,5,2,316
26,26,5,2,279
27,27,5,2,301
3,3,14,2,46
3,3,5,2,190
3,IRE,5,2,270
3,RB,5,2,344
30,30,5,2,306
32,RE,5,2,323
4,4,14,2,97
4A,4A,5,2,338
5,IRE,5,2,340
5,S,1,2,229
50,50,5,2,222
50,IRE,5,2,312
59,59,5,2,254
6,IRE,5,2,214
6,RB,5,2,345
61,61,5,2,182
62,62,5,2,343
65,65,5,2,148
66,66,5,2,278
67,67,5,2,98
69,69,5,2,70
71,71,5,2,113
72,72,5,2,261
73,73,2,2,339
73,73,5,2,135
741,S,1,2,302
768,S,1,2,29
78,78,5,2,20
79,79,13,2,228
8,8,14,2,324
81,81,13,2,43
82,82,5,2,39
83,83,5,2,256
834,834,16,2,317
84,84,5,2,230
89,89,5,2,54
90,90,5,2,240
91,91,5,2,199
93,RB,5,2,349
A1,A1,5,2,28
A11,A11,3,2,267
A14,A14,3,2,311
A2,A2,5,2,108
A22,A22,3,2,284
A3,A3,5,2,251
A31,A31,3,2,171
A311,A311,3,2,193
A312,A312,3,2,289
A50,A50,3,2,277
A51,A51,3,2,260
A60,A60,3,2,294
A601,A601,3,2,21
A61,A61,3,2,258
A91,A91,3,2,303
AIR,AIR,5,2,99
BB09,BB09,10,2,352
C11,C11,5,2,44
C13,C13,5,2,197
C14,C14,5,2,239
C15,C15,5,2,202
CB37,CB37,5,2,310
CB523,CB523,5,2,304
CB92,CB92,5,2,282
DPF,DPF,5,2,246
DPN,DPN,5,2,92
DWE,DWE,8,2,123
E,E,14,2,185
ECW,ECW,5,2,297
FEX,FEX,5,2,173
HSB,HSB,15,2,245
INT,INT,5,2,331
IRE,IRE,5,2,266
IRE1,IRE1,5,2,174
KBM,KBM,6,2,2
L7,L7,5,2,221
MEX16,MEX16,5,2,121
NJ,NJ,5,2,74
NL1,NL1,14,2,94
NL2,NL2,14,2,234
Os,Os,5,2,348
R,R,5,2,145
RB,RB,5,2,69
RB1,RB1,5,2,243
RB10,RB10,5,2,292
RB11,RB11,5,2,223
RB110,RB110,5,2,100
RB113,RB113,5,2,180
RB12,RB12,5,2,237
RB13,RB13,5,2,236
RB14,RB14,5,2,290
RB15,RB15,5,2,10
RB16,RB16,5,2,114
RB17,RB17,5,2,215
RB18,RB18,5,2,186
RB19,RB19,5,2,300
RB2,RB2,5,2,169
RB20,RB20,5,2,296
RB21,RB21,5,2,269
RB22,RB22,5,2,26
RB23,RB23,5,2,213
RB24,RB24,5,2,65
RB25,RB25,5,2,23
RB26,RB26,5,2,217
RB27,RB27,5,2,329
RB28,RB28,5,2,158
RB29,RB29,5,2,80
RB3,RB3,5,2,286
RB30,RB30,5,2,177
RB31,RB31,5,2,115
RB32,RB32,5,2,22
RB33,RB33,5,2,9
RB34,RB34,5,2,130
RB35,RB35,5,2,138
RB36,RB36,5,2,5
RB37,RB37,5,2,211
RB38,RB38,5,2,15
RB39,RB39,5,2,154
RB4,RB4,5,2,247
RB40,RB40,5,2,3
RB41,RB41,5,2,7
RB42,RB42,5,2,142
RB42a,RB42a,5,2,206
RB43,RB43,5,2,203
RB44,RB44,5,2,151
RB45,RB45,5,2,88
RB46,RB46,10,2,72
RB46,RB46,5,2,126
RB47,RB47,10,2,51
RB47,RB47,5,2,140
RB48,RB48,5,2,57
RB49,RB49,5,2,136
RB5,RB5,5,2,106
RB50,RB50,5,2,164
RB51,RB51,5,2,96
RB52,RB52,5,2,12
RB53,RB53,5,2,73
RB54,RB54,5,2,242
RB55,RB55,5,2,162
RB56,RB56,5,2,75
RB57,RB57,5,2,192
RB58,RB58,5,2,141
RB59,RB59,5,2,132
RB6,RB6,5,2,137
RB60,RB60,5,2,82
RB61,RB61,10,2,200
RB61,RB61,5,2,124
RB62,RB62,5,2,107
RB63,RB63,5,2,56
RB64,RB64,5,2,58
RB65,RB65,10,2,252
RB65,RB65,5,2,111
RB66,RB66,5,2,249
RB67,RB67,5,2,89
RB68,RB68,5,2,218
RB68a,RB68a,5,2,318
RB69,RB69,5,2,81
RB7,RB7,5,2,351
RB70,RB70,5,2,49
RB71,RB71,5,2,91
RB72,RB72,5,2,175
RB73,RB73,5,2,118
RB74,RB74,5,2,19
RB75,RB75,5,2,122
RB76,RB76,5,2,195
RB77,RB77,5,2,33
RB78,RB78,5,2,27
RB79,RB79,5,2,60
RB8,RB8,5,2,188
RB80,RB80,5,2,102
RB81,RB81,5,2,8
RB82,RB82,5,2,196
RB83,RB83,5,2,227
RB84,RB84,5,2,63
RB85,RB85,5,2,128
RB86,RB86,5,2,90
RB87,RB87,5,2,66
RB88,RB88,5,2,35
RB89,RB89,5,2,208
RB90,RB90,5,2,83
RB91,RB91,5,2,147
RB92,RB92,5,2,62
RB93,RB93,5,2,328
RB94,RB94,5,2,119
RB95,RB95,5,2,231
RB96,RB96,5,2,14
RB97,RB97,5,2,149
RB98,RB98,5,2,209
RB99,RB99,5,2,264
RE,RE,5,2,163
RE 18,RE 18,4,2,299
RE1,RE1,5,2,155
RE10,RE10,5,2,131
RE11,RE11,5,2,36
RE12,RE12,5,2,225
RE13,RE13,5,2,224
RE14,RE14,5,2,153
RE15,RE15,5,2,263
RE16,RE16,5,2,11
RE17,RE17,5,2,24
RE18,RE18,5,2,259
RE19,RE19,5,2,170
RE2,RE2,5,2,327
RE20,RE20,5,2,129
RE21,RE21,5,2,144
RE22,RE22,5,2,161
RE23,RE23,5,2,315
RE24,RE24,5,2,268
RE25,RE25,5,2,233
RE27,RE27,5,2,330
RE28,RE28,5,2,45
RE3,RE3,5,2,189
RE30,RE30,5,2,152
RE31,RE31,5,2,156
RE32,RE32,5,2,274
RE33,RE33,5,2,212
RE34,RE34,5,2,332
RE35,RE35,5,2,250
RE38,RE38,5,2,293
RE39,RE39,5,2,271
RE4,RE4,5,2,275
RE40,RE40,5,2,110
RE41,RE41,5,2,160
RE42,RE42,5,2,207
RE43,RE43,5,2,313
RE44,RE44,5,2,241
RE45,RE45,5,2,288
RE47,RE47,5,2,308
RE49,RE49,5,2,78
RE5,RE5,5,2,30
RE50,RE50,5,2,71
RE51,RE51,5,2,287
RE54,RE54,5,2,48
RE55,RE55,5,2,257
RE56,RE56,5,2,52
RE57,RE57,5,2,235
RE59,RE59,5,2,157
RE6,RE6,5,2,143
RE60,RE60,5,2,17
RE61,RE61,5,2,295
RE62,RE62,5,2,314
RE65,RE65,5,2,307
RE66,RE66,5,2,238
RE67,RE67,5,2,337
RE7,RE7,5,2,40
RE70,RE70,5,2,47
RE71,RE71,5,2,166
RE72,RE72,5,2,95
RE73,RE73,5,2,76
RE74,RE74,5,2,184
RE75,RE75,5,2,216
RE76,RE76,5,2,272
RE77,RE77,5,2,183
RE79,RE79,5,2,205
RE8,RE8,5,2,112
RE80,RE80,5,2,103
RE83,RE83,5,2,220
RE84,RE84,5,2,320
RE85,RE85,5,2,210
RE87,RE87,5,2,167
RE89,RE89,5,2,172
RE9,RE9,5,2,120
RE90,RE90,5,2,273
RE91,RE91,5,2,341
RE97,RE97,5,2,305
RE98,RE98,5,2,255
RE99,RE99,5,2,176
RJX,RJX,5,2,253
RS1,RS1,5,2,116
RS2,RS2,5,2,146
RS3,RS3,5,2,150
RS4,RS4,5,2,134
RS7,RS7,5,2,281
RS71,RS71,5,2,165
RT1,RT1,11,2,105
RT4,RT4,11,2,109
RT5,RT5,11,2,127
S,S,5,2,194
S1,S1,5,2,84
S1,S1,7,2,6
S10,S10,5,2,204
S11,S11,5,2,321
S12,S12,5,2,55
S14,S14,5,2,335
S19,S19,5,2,59
S2,S,12,2,32
S2,S2,5,2,198
S2,S2,7,2,50
S20,S20,5,2,168
S21,S21,5,2,68
S23,S23,5,2,219
S25,S25,7,2,41
S26,S26,7,2,125
S28,S28,5,2,159
S3,S3,5,2,18
S3,S3,7,2,67
S30,S30,5,2,334
S31,S31,5,2,34
S33,S33,5,2,38
S39,S39,5,2,346
S4,S4,5,2,93
S41,S41,7,2,101
S42,S42,7,2,86
S45,S45,7,2,61
S46,S46,7,2,77
S47,S47,7,2,117
S5,S,12,2,248
S5,S5,5,2,16
S5,S5,7,2,4
S51,S51,5,2,85
S5X,S5X,5,2,187
S6,S6,5,2,37
S60,S60,5,2,178
S68,S68,5,2,201
S7,S7,5,2,42
S7,S7,7,2,25
S75,S75,7,2,31
S8,S8,5,2,79
S8,S8,7,2,104
S85,S85,7,2,64
S9,S9,5,2,13
S9,S9,7,2,133
TER,TER,5,2,191
TLK,TLK,5,2,309
U28,U28,5,2,291
VBG140,VBG140,5,2,336
VBG145,VBG145,5,2,285
VBGRB1,VBGRB1,5,2,350
VBGRB5,VBGRB5,5,2,1
